SKU,Product Name,Category,Status,AI Recommendation,Human Reviewed,Reviewed By,Reviewed At
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,Delete,Delete,No,,
,,,Delete,Delete,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Keep,Keep,No,,
,,,Delete,Delete,No,,
,,,New,New,No,,
,,,New,New,No,,
,,,Keep,Keep,No,,
